method,sigma,equation_type,rhs_type,bc_subtype,n,h,error,rate
FA,10.0,modified_H,polynomial,polynomial,17,0.0625,3.56592593091596e-05,2.0002181950143156
FA,10.0,modified_H,polynomial,polynomial,33,0.03125,8.915099010832483e-06,1.9999540109737663
FA,10.0,modified_H,polynomial,polynomial,65,0.015625,2.2288027328462925e-06,1.9999818884554603
FA,10.0,modified_H,polynomial,polynomial,129,0.0078125,5.572025939433456e-07,1.9999950527725303
CR,10.0,modified_H,polynomial,polynomial,9,0.125,0.00014265861147314332,
CR,10.0,modified_H,polynomial,polynomial,17,0.0625,3.56592593091596e-05,2.0002181950143068
CR,10.0,modified_H,polynomial,polynomial,33,0.03125,8.91509901082034e-06,1.9999540109757314
CR,10.0,modified_H,polynomial,polynomial,65,0.015625,2.22880273284716e-06,1.999981888452934
CR,10.0,modified_H,polynomial,polynomial,129,0.0078125,5.572025934524188e-07,1.9999950540441869
FACR,10.0,modified_H,polynomial,polynomial,9,0.125,0.00014265861147314332,
FACR,10.0,modified_H,polynomial,polynomial,17,0.0625,3.5659259309163936e-05,2.0002181950141313
FACR,10.0,modified_H,polynomial,polynomial,33,0.03125,8.915099010822942e-06,1.9999540109754859
FACR,10.0,modified_H,polynomial,polynomial,65,0.015625,2.2288027328298127e-06,1.999981888464584
FACR,10.0,modified_H,polynomial,polynomial,129,0.0078125,5.572025933006305e-07,1.9999950544259646
FFT9,10.0,modified_H,polynomial,polynomial,9,0.125,2.2541514366125268e-06,
FFT9,10.0,modified_H,polynomial,polynomial,17,0.0625,1.409320631007814e-07,3.99951266272022
FFT9,10.0,modified_H,polynomial,polynomial,33,0.03125,8.808439051072314e-09,3.9999696817847066
FFT9,10.0,modified_H,polynomial,polynomial,65,0.015625,5.505281408697826e-10,3.999998165137159
FFT9,10.0,modified_H,polynomial,polynomial,129,0.0078125,3.440812825633577e-11,3.9999949915011688
FA,-5.0,true_H,polynomial,polynomial,9,0.125,0.0002952159978029693,
FA,-5.0,true_H,polynomial,polynomial,17,0.0625,7.341043472998496e-05,2.007713852609217
FA,-5.0,true_H,polynomial,polynomial,33,0.03125,1.8329587509584473e-05,2.0018108259484646
FA,-5.0,true_H,polynomial,polynomial,65,0.015625,4.580983065238277e-06,2.000445185033868
FA,-5.0,true_H,polynomial,polynomial,129,0.0078125,1.1451577957670434e-06,2.000110822972519
CR,-5.0,true_H,polynomial,polynomial,9,0.125,0.00029521599780297017,
CR,-5.0,true_H,polynomial,polynomial,17,0.0625,7.34104347299893e-05,2.007713852609136
CR,-5.0,true_H,polynomial,polynomial,33,0.03125,1.8329587509563657e-05,2.001810825950188
CR,-5.0,true_H,polynomial,polynomial,65,0.015625,4.580983065212256e-06,2.000445185040424
CR,-5.0,true_H,polynomial,polynomial,129,0.0078125,1.14515779476871e-06,2.000110824222047
FACR,-5.0,true_H,polynomial,polynomial,9,0.125,0.0002952159978029693,
FACR,-5.0,true_H,polynomial,polynomial,17,0.0625,7.34104347299919e-05,2.0077138526090805
FACR,-5.0,true_H,polynomial,polynomial,33,0.03125,1.8329587509557585e-05,2.001810825950717
FACR,-5.0,true_H,polynomial,polynomial,65,0.015625,4.580983065323278e-06,2.0004451850049816
FACR,-5.0,true_H,polynomial,polynomial,129,0.0078125,1.145157795094838e-06,2.0001108238461476
FFT9,-5.0,true_H,polynomial,polynomial,9,0.125,4.271419223518449e-06,
FFT9,-5.0,true_H,polynomial,polynomial,17,0.0625,2.67000761476361e-07,3.999799738404601
FFT9,-5.0,true_H,polynomial,polynomial,33,0.03125,1.6687689160643088e-08,3.9999877609865293
FFT9,-5.0,true_H,polynomial,polynomial,65,0.015625,1.042981079106553e-09,3.9999992992960585
FFT9,-5.0,true_H,polynomial,polynomial,129,0.0078125,6.518654973447502e-11,3.999994858990319
