method,sigma,equation_type,bc_type,sub_exp,display,n,h,linf_error,l2_error,observed_order_linf,observed_order_l2,boundary_flux_linf,boundary_dirichlet_linf,mean_offset,weighted_mean_solution,compatibility_integral,error,rate
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",17,0.0625,0.002134256854729566,0.0010652805845456034,2.0036584969067763,1.997197883437506,0.00591989485510247,1.2246467991473532e-16,0.0,,,0.002134256854729566,2.0036584969067763
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",33,0.03125,0.000533225440761953,0.00026649028054872534,2.00091629315432,1.999078651358929,0.0007423750734112389,1.2246467991473532e-16,0.0,,,0.000533225440761953,2.00091629315432
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",65,0.015625,0.0001332851857167583,6.66347056941686e-05,2.000229176872087,1.9997372314896409,9.28716249966044e-05,1.2246467991473532e-16,0.0,,,0.0001332851857167583,2.000229176872087
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",129,0.0078125,3.3319973070655706e-05,1.665948595722382e-05,2.000057297911901,1.9999298934788263,1.1611289664870128e-05,1.2246467991473532e-16,0.0,,,3.3319973070655706e-05,2.000057297911901
CR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",9,0.125,0.0085587037414534,0.004252854081149163,,,0.046751339893134514,1.2246467991473532e-16,0.0,,,0.0085587037414534,
CR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",17,0.0625,0.002134256854729566,0.001065280584545745,2.0036584969067763,1.9971978834373112,0.00591989485510247,1.2246467991473532e-16,0.0,,,0.002134256854729566,2.0036584969067763
CR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",33,0.03125,0.0005332254407586223,0.0002664902805470562,2.0009162931633315,1.9990786513681569,0.0007423750734183443,1.2246467991473532e-16,0.0,,,0.0005332254407586223,2.0009162931633315
CR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",65,0.015625,0.00013328518571564807,6.663470569326709e-05,2.0002291768750924,1.9997372315001234,9.287162502147339e-05,1.2246467991473532e-16,0.0,,,0.00013328518571564807,2.0002291768750924
CR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",129,0.0078125,3.331997291855515e-05,1.6659485881054755e-05,2.0000573044855647,1.9999299000554738,1.1611289693291837e-05,1.2246467991473532e-16,0.0,,,3.331997291855515e-05,2.0000573044855647
FACR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",9,0.125,0.008558703741453177,0.004252854081149096,,,0.04675133989313407,1.2246467991473532e-16,0.0,,,0.008558703741453177,
